,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1362,Flora,Angiospermas,Malpighiaceae,Heteropterys bahiensis,Criticamente em Perigo (CR),CR,Mata Atlântica,Distribuição Restrita,Sim,Não,2,Sim,"BA,ES"
1363,Flora,Angiospermas,Malpighiaceae,Heteropterys brasiliensis,Em Perigo (EN),EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Não,2,Sim,SP
1364,Flora,Angiospermas,Malpighiaceae,Heteropterys bullata,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
1365,Flora,Angiospermas,Malpighiaceae,Heteropterys capixaba,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,ES
1366,Flora,Angiospermas,Malpighiaceae,Heteropterys conformis,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
1367,Flora,Angiospermas,Malpighiaceae,Heteropterys crinigera,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"RJ,SP"
1368,Flora,Angiospermas,Malpighiaceae,Heteropterys dusenii,Vulnerável (VU),VU,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"PR,RS,SC"
1369,Flora,Angiospermas,Malpighiaceae,Heteropterys fragilis,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,RJ"
1370,Flora,Angiospermas,Malpighiaceae,Heteropterys hatschbachii,Criticamente em Perigo (CR),CR,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,MS
1371,Flora,Angiospermas,Malpighiaceae,Heteropterys marginata,Em Perigo (EN),EN,Cerrado,Agropecuária,Sim,Não,2,Sim,MT
1372,Flora,Angiospermas,Malpighiaceae,Heteropterys megaptera,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES,RJ"
1373,Flora,Angiospermas,Malpighiaceae,Heteropterys oberdanii,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"BA,ES,PE"
1374,Flora,Angiospermas,Malpighiaceae,Heteropterys occhionii,Criticamente em Perigo (CR),CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Sim,RJ
1375,Flora,Angiospermas,Malpighiaceae,Heteropterys sanctorum,Criticamente em Perigo (CR),CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Distribuição Restrita",Sim,Não,2,Informação não disponível,RJ
1376,Flora,Angiospermas,Malpighiaceae,Heteropterys ternstroemiifolia,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,SP
1377,Flora,Angiospermas,Malpighiaceae,Heteropterys thyrsoidea,Em Perigo (EN),EN,Mata Atlântica,"Indústrias,Agropecuária,Distribuição Restrita",Sim,Não,2,Sim,SP
1378,Flora,Angiospermas,Rubiaceae,Hindsia glabra,Em Perigo (EN),EN,Mata Atlântica,Queimadas,Sim,Sim,2,Sim,RJ
1379,Flora,Angiospermas,Rubiaceae,Hindsia ibitipocensis,Criticamente em Perigo (CR),CR,Cerrado,Turismo/Recreação,Não,Não,1,Sim,MG
