,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais_ameacas,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados_de_ocorrencia
39,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Informação não disponível,BA
39,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Plantação de Madereiras,Sim,Não,2,Informação não disponível,MG
40,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Agropecuária,Não,Não,1,Sim,BA
40,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Agropecuária,Não,Não,1,Sim,MG
40,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Queimadas,Não,Não,1,Sim,BA
40,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Queimadas,Não,Não,1,Sim,MG
41,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
41,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
41,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Fatores Intrínsecos,Sim,Não,2,Sim,BA
41,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Fatores Intrínsecos,Sim,Não,2,Sim,ES
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SC
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SC
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,SC
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,SP
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,PR
42,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,SC
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Espécies Invasoras,Sim,Não,2,Sim,BA
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Espécies Invasoras,Sim,Não,2,Sim,ES
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,BA
43,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,ES
44,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,MG
44,Flora,Angiospermas,Bromeliaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,RJ
45,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,RJ
45,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Distribuição Restrita,Sim,Sim,2,Sim,RJ
